imdb_id,title,duration,genre,rating,vote_count,gross,year
tt0172495,Gladiator,155,"['Action, Adventure, Drama']",8.5,1329019,187705427,2000
tt0209144,Memento,113,"['Mystery, Thriller']",8.4,1116360,25544867,2000
tt0208092,Snatch,102,"['Comedy, Crime']",8.3,776147,30328156,2000
tt0180093,Requiem for a Dream,102,['Drama'],8.3,760451,3635482,2000
tt0120903,X-Men,104,"['Action, Adventure, Sci-Fi']",7.4,567551,157299717,2000
tt0162222,Cast Away,143,"['Adventure, Drama, Romance']",7.8,518726,233632142,2000
tt0144084,American Psycho,101,"['Comedy, Crime, Drama']",7.6,484395,15070285,2000
tt0217869,Unbreakable,106,"['Drama, Mystery, Sci-Fi']",7.3,384643,95011339,2000
tt0120755,Mission: Impossible II,123,"['Action, Adventure, Thriller']",6.1,312611,215409889,2000
tt0212338,Meet the Parents,108,"['Comedy, Romance']",7.0,309329,166244045,2000
tt0190590,"O Brother, Where Art Thou?",107,"['Adventure, Comedy, Crime']",7.7,283165,45512588,2000
tt0187078,Gone in 60 Seconds,118,"['Action, Crime, Thriller']",6.5,259216,101648571,2000
tt0187393,The Patriot,165,"['Action, Drama, History']",7.2,253162,113330342,2000
tt0181875,Almost Famous,122,"['Adventure, Comedy, Drama']",7.9,250930,32534850,2000
tt0175142,Scary Movie,88,['Comedy'],6.2,231022,157019771,2000
tt0195714,Final Destination,98,"['Horror, Thriller']",6.7,228316,53331147,2000
tt0134847,Pitch Black,109,"['Action, Horror, Sci-Fi']",7.1,224515,39240659,2000
tt0163978,The Beach,119,"['Adventure, Drama, Romance']",6.7,221619,39785027,2000
tt0183505,"Me, Myself &amp; Irene",116,['Comedy'],6.6,221122,90570999,2000
tt0170016,How the Grinch Stole Christmas,104,"['Comedy, Family, Fantasy']",6.2,206361,260044825,2000
tt0210945,Remember the Titans,113,"['Biography, Drama, Sport']",7.8,196676,115654751,2000
tt0181865,Traffic,147,"['Crime, Drama, Thriller']",7.6,194822,124115725,2000
tt0207201,What Women Want,127,"['Comedy, Fantasy, Romance']",6.4,190509,182811707,2000
tt0212346,Miss Congeniality,109,"['Action, Comedy, Crime']",6.3,186174,106807667,2000
tt0120917,The Emperor's New Groove,78,"['Animation, Adventure, Comedy']",7.4,178529,89302687,2000
tt0241303,Chocolat,121,"['Drama, Romance']",7.2,176816,71509363,2000
tt0120630,Chicken Run,84,"['Animation, Adventure, Comedy']",7.0,175993,106834564,2000
tt0160127,Charlie's Angels,98,"['Action, Adventure, Comedy']",5.5,175433,125305545,2000
tt0195685,Erin Brockovich,131,"['Biography, Drama']",7.3,173155,125595205,2000
tt0146882,High Fidelity,113,"['Comedy, Drama, Music']",7.5,167287,27277055,2000
tt0215129,Road Trip,93,['Comedy'],6.4,157168,68540777,2000
tt0177971,The Perfect Storm,130,"['Action, Adventure, Drama']",6.4,155459,182618434,2000
tt0242423,"Dude, Where's My Car?",83,"['Comedy, Mystery, Sci-Fi']",5.5,133900,46729800,2000
tt0249462,Billy Elliot,110,"['Drama, Music']",7.7,125751,21995263,2000
tt0134084,Scream 3,116,"['Horror, Mystery']",5.6,123344,89138076,2000
tt0164052,Hollow Man,112,"['Action, Horror, Sci-Fi']",5.8,123119,73209340,2000
tt0184894,Shanghai Noon,110,"['Action, Adventure, Comedy']",6.6,118592,56937502,2000
tt0161081,What Lies Beneath,130,"['Drama, Fantasy, Horror']",6.6,117297,155464351,2000
tt0216216,The 6th Day,123,"['Action, Mystery, Sci-Fi']",5.9,115989,34604280,2000
tt0223897,Pay It Forward,123,['Drama'],7.2,112324,33519628,2000
tt0190138,The Whole Nine Yards,98,"['Comedy, Crime']",6.7,109512,57262492,2000
tt0203019,Men of Honor,129,"['Biography, Drama']",7.2,106554,48818921,2000
tt0200550,Coyote Ugly,100,"['Comedy, Drama, Music']",5.7,106078,60786269,2000
tt0218967,The Family Man,125,"['Comedy, Drama, Fantasy']",6.8,102672,75793305,2000
tt0168629,Dancer in the Dark,140,"['Crime, Drama, Musical']",8.0,101487,4184036,2000
tt0186151,Frequency,118,"['Crime, Drama, Mystery']",7.3,100695,45010278,2000
tt0185431,Little Nicky,90,"['Comedy, Fantasy']",5.3,98103,39464775,2000
tt0230030,Bedazzled,93,"['Comedy, Fantasy']",6.0,96262,37879996,2000
tt0209958,The Cell,107,"['Horror, Sci-Fi, Thriller']",6.3,94961,61334059,2000
tt0213847,Malena,108,"['Comedy, Drama, Romance']",7.5,89576,3429045,2000
tt0204946,Bring It On,98,"['Comedy, Romance, Sport']",6.0,86996,68379000,2000
tt0138749,The Road to El Dorado,89,"['Animation, Adventure, Comedy']",6.9,83767,50863742,2000
tt0181536,Finding Forrester,136,['Drama'],7.3,82693,66400000,2000
tt0208003,Big Momma's House,99,"['Action, Comedy, Crime']",5.2,80510,117559438,2000
tt0141926,U-571,116,"['Action, War']",6.6,76571,77086030,2000
tt0185183,Battlefield Earth,118,"['Action, Adventure, Sci-Fi']",2.5,75797,21471685,2000
tt0186566,Space Cowboys,130,"['Action, Adventure, Thriller']",6.4,73104,90464773,2000
tt0162650,Shaft,99,"['Action, Crime, Thriller']",5.9,73084,70334258,2000
tt0183523,Mission to Mars,114,"['Adventure, Sci-Fi, Thriller']",5.7,70033,60883407,2000
tt0165929,Romeo Must Die,115,"['Action, Crime, Thriller']",6.1,66540,55973336,2000
tt0219699,The Gift,111,"['Drama, Fantasy, Horror']",6.6,63114,12008642,2000
tt0185014,Wonder Boys,107,"['Comedy, Drama']",7.2,60976,19389454,2000
tt0120913,Titan A.E.,94,"['Animation, Action, Adventure']",6.6,58418,22751979,2000
tt0190865,Vertical Limit,124,"['Action, Adventure, Drama']",5.9,58309,69243859,2000
tt0191397,The Replacements,118,"['Comedy, Sport']",6.6,57964,44737059,2000
tt0218839,Best in Show,90,['Comedy'],7.4,55464,18621249,2000
tt0199753,Red Planet,106,"['Action, Sci-Fi, Thriller']",5.7,55210,18000000,2000
